Author,Year,Title,Journal,Keywords,Abstract
"Jenkins, R. K. B.; Keane, A.; Rakotoarivelo, A. R.; Rakotomboavonjy, V.; Randrianandrianina, F. H.; Razafimanahaka, H. J.; Ralaiarimalala, S. R.; Jones, J. P. G.;",2011,Analysis of Patterns of Bushmeat Consumption Reveals Extensive Exploitation of Protected Species in Eastern Madagascar,Plos One,equatorial-guinea; western madagascar; wildlife laws; recall bias; rio-muni; conservation; wealth; forests; africa; income,"Understanding the patterns of wild meat consumption from tropical forests is important for designing approaches to address this major threat to biodiversity and mitigate potential pathways for transmission of emerging diseases. Bushmeat consumption has been particularly poorly studied in Madagascar, one of the world's hottest biodiversity hotspots. Studying bushmeat consumption is challenging as many species are protected and researchers must consider the incentives faced by informants. Using interviews with 1154 households in 12 communes in eastern Madagascar, as well as local monitoring data, we investigated the importance of socio-economic variables, taste preference and traditional taboos on consumption of 50 wild and domestic species. The majority of meals contain no animal protein. However, respondents consume a wide range of wild species and 95% of respondents have eaten at least one protected species (and nearly 45% have eaten more than 10). The rural/urban divide and wealth are important predictors of bushmeat consumption, but the magnitude and direction of the effect varies between species. Bushmeat species are not preferred and are considered inferior to fish and domestic animals. Taboos have provided protection to some species, particularly the Endangered Indri, but we present evidence that this taboo is rapidly eroding. By considering a variety of potential influences on consumption in a single study we have improved understanding of who is eating bushmeat and why. Evidence that bushmeat species are not generally preferred meats suggest that projects which increase the availability of domestic meat and fish may have success at reducing demand. We also suggest that enforcement of existing wildlife and firearm laws should be a priority, particularly in areas undergoing rapid social change. The issue of hunting as an important threat to biodiversity in Madagascar is only now being fully recognised. Urgent action is required to ensure that heavily hunted species are adequately protected."
"Jenkins, R. K. B.; Rabearivelo, A.; Chan, C. T.; Andre, W. M.; Randrianavelona, R.; Randrianantoandro, J. C.;",2009,The harvest of endemic amphibians for food in eastern Madagascar,Tropical Conservation Science,Amphibian; bushmeat; harvest; Madagascar; Moramanga; Mantidactylus; trade,"Deliveries of edible, endemic amphibians to a restaurant in eastern Madagascar were monitored over a five-month period in the 2008 austral summer. Each frog collector was interviewed on arrival and information was obtained on collection locality, methods, frequency, as well as recording the number of frogs delivered. A total of 3,233 frogs were delivered to the restaurant during the study, averaging 249 per week. All of the 21 interviews concerned frogs collected in forest habitats at night by teams of between one and three people. Collection occurred in four localities, one of which (Fierenana) necessitated public transport to deliver the frogs. Effort at Fierenana was typically higher than at other sites with collectors frequently spending at least one night in the forest and traveling around 8.3 hours between their homes and forest collection locations. Income generated went directly to the collectors, who always delivered the frogs in person, and supply was determined by their available time, frog abundance, and weather conditions. Although the restaurant had no stated minimum quantity for purchase, small frogs were refused and collectors aimed for a minimum of 60 large frogs per delivery. The income generated by local amphibian collectors at Fierenena was similar for non-threatened edible species destined for domestic consumption (0.29 US$) and the Critically Endangered Mantella milotympanum collected for overseas export (0.32 US$). The harvest of edible frogs provides important income for individual hunters but additional study is needed to investigate its impact on frog populations and to develop methods to link sustainable collection practices with forest management."
"Jerozolimski, A.; Peres, C. A.;",2003,Bringing home the biggest bacon: a cross-site analysis of the structure of hunter-kill profiles in Neotropical forests,Biological Conservation,bushmeat; exploitation; hunting; large vertebrates; neotropical forests; species diversity; amazonian forests; primate communities; eastern paraguay; body-mass; game; diet; choice; vertebrates; resources; wildlife,"Forest vertebrates are critical to the subsistence of many tropical forest dwellers enjoying little or no access to other sources of animal protein. Yet the ecological and socioeconomic value of forest wildlife is being undermined as many large vertebrate populations are driven to local extinction by unsustainable hunting practices. Although large mammals that are preferred by hunters are widely variable in their morphology and ecology, they share a set of life history traits, which make them particularly vulnerable to overhunting. In this paper we compile data on game harvest from 31 tribal and nontribal settlements in Neotropical forests to examine how mammal assemblages are affected by the history of hunting within settlement catchment areas. The structure of hunter-kill profiles is related to settlement age and size in an attempt to understand how changes in hunting pressure may affect prey selectivity and the structure of residual game assemblages. There was a predictable shift from a few large-bodied to several small-bodied species harvested by increasingly older villages. Settlement persistence thus explained a significant proportion of the variation in mean body mass and species richness of mammals harvested. We conclude that differences in prey species profiles obtained by subsistence hunters of different ethnic groups can be largely explained by the local depletion status of game stocks, particularly large mammals, rather than by cultural factors. (C) 2003 Elsevier Science Ltd. All rights reserved."
"Jimoh, S. O.; Ikyaagba, E. T.; Alarape, A. A.; Adeyemi, A. A.; Waltert, M.;",2013,"Local depletion of two larger Duikers in the Oban Hills Region, Nigeria",African Journal of Ecology,conservation; densities; depletion; Duikers; land-use; population; line transect techniques; national-park; wildlife populations; udzungwa; mountains; protected areas; central-africa; food security; congo basin; bushmeat; forest,"Across West and Central Africa, duikers are important for trade and consumption; their populations are expected to become depleted. Reliable data on their status are scanty in Nigeria. We assessed duiker populations in the Oban Sector of Cross River National Park through diurnal and nocturnal surveys along 32 transects of 2km each. After 508-km survey effort, only Ogilby's duiker (Cephalophus ogilbyi) and blue duiker (Philantomba monticola) were recorded. Using habitat as a covariate in modelling detection probability in DISTANCE 6.0, we estimated densities for the blue duiker ranging from 15.5 (95% CI: 7.830.9) in the core, 5.8 (CI: 2.612.9) in the buffer and 0.9(CI: 0.0910.1)km2 in farm fallow to no duikers in the plantation. For Ogilby's duiker, densities ranged from 1.6(95% CI: 0.73.7)km2 in the core, 2.0 (CI: 0.85.1) in buffer to no duikers in farm fallow and plantation. The apparent absence of yellow-backed and Bay duikers may indicate local depletion. We call on all stakeholders to rise up to the challenge of rescuing this biological hotspot in Nigeria from further degradation and species loss through improved funding for well-equipped field staff and institutionalized community wildlife management."
"Johnston, A. R.; Morikawa, M. K.; Ntie, S.; Anthony, N. M.;",2011,Evaluating DNA barcoding criteria using African duiker antelope (Cephalophinae) as a test case,Conservation Genetics,Barcoding; Cytochrome c oxidase subunit 1 (COX1); Duiker; Antelope; Bushmeat; species delimitation; sequence alignment; mitochondrial-dna; identification; birds; amplification; coalescent; phylogeny; inference; lineages,"African duikers in the subfamily Cephalophinae (genera Cephalophus, Philantomba and Sylvicapra) constitute an important target for DNA barcoding efforts because of their importance to the bushmeat trade and protection under the Convention for International Trade in Endangered Species (CITES). Duikers also make a challenging test case of barcoding methods due to their recent diversification, substantial intra-specific genetic variation and high species richness. However, no study to date has evaluated how well DNA barcoding methods can be used to delineate all of the taxa within this group. To address this question, cytochrome c oxidase subunit 1 (COX1) sequences from all eighteen species within this subfamily and an outgroup taxon (genus Tragelaphus) were used to build a neighbor-joining tree, identify species-specific diagnostic synapomorphies, and determine whether species exceed a given pair-wise genetic distance threshold commonly employed in DNA barcoding studies. Tree-based analyses of the data indicate that several species within two clusters of closely related taxa consistently failed to form reciprocally monophyletic clades and similarly lack species-specific synapomorphies. Furthermore, one additional taxon failed to constitute a diagnosable clade and another occupied an unresolved position in the tree. Of the two genetic distance criteria evaluated, the 3% threshold was far more effective in delimiting species than a threshold level based on the ratio of inter- to intra-specific distances. However, neither approach could effectively delineate all sister species. While the taxonomy of this group might be open to question, the fact that barcodes consistently failed to differentiate several currently recognized sister taxa challenges the routine application of this approach in forensic studies of duiker species. Future barcoding work of this group should always include a complete taxonomic sampling and strive to include a broader geographic sampling of sequence diversity than has been carried out to date. Lastly, this work highlights the need to re-examine the taxonomy of this group, which may illuminate why some barcoding criteria fail to reliably differentiate species."
"Jori, F.; Lopez-Bejar, M.; Houben, P.;",1998,"The biology and use of the African brush-tailed porcupine (Atherurus africanus, Gray, 1842) as a food animal. A review",Biodiversity and Conservation,brush-tailed porcupine; Atherurus africanus; minilivestock; game; farming; reproductive biology; African rodents; Central Africa; wildlife; utilization; bushmeat; nigeria,"The brush-tailed porcupine (Atherurus africanus) is a hystricomorph rodent, which frequents the forests of West and Central Africa. With an average weight of 3 kg, it is a favourite source of meat for urban and rural populations of Gabon, Nigeria, Cameroon or Congo. Hunted in large quantities, its price is often higher than that of other game or domestic animals. Although its current productivity in captivity is limited to a single young per birth and two to three births per year per female, this species could be a good candidate for minilivestock programmes in African forest areas if its current reproductive potential in captivity could be improved. Further research should be encouraged on its biology and reproduction since the current level of hunting for this species is probably not sustainable. Captive breeding programmes could play a role in assessing a better knowledge of the species' biology, and in reducing the effects of intensive hunting in areas where this activity is no longer sustainable."
"Junker, J.; Boesch, C.; Mundry, R.; Stephens, C.; Lormie, M.; Tweh, C.; Kuhl, H. S.;",2015,Education and access to fish but not economic development predict chimpanzee and mammal occurrence in West Africa,Biological Conservation,IUCN SSC APES database; Chimpanzee; Education; Fish protein; Liberia; West Africa; protected areas; changing biodiversity; resource-management; national-park; rain-forests; conservation; wildlife; bushmeat; taboos; deforestation,"We are in the midst of an unprecedented environmental crisis. Landscapes have become complex social-ecological systems in which anthropogenic activities and biophysical factors interact across multiple scales. The integration of sodo-economic development processes into conservation strategies as a means of sustainable resource management requires a deep understanding of the interactions between human activities and natural processes. Attempts to combine socio-economic and biological datasets for analyses, however, have frequently been hampered by spatial, temporal and methodological incompatibilities. In this study, we investigate the effects of human well-being on their environment in Liberia, West Africa. More specifically; we tested whether regions with improved community and household wealth, better education and access to market towns and fish protein, had higher levels of large mammal species richness and densities of the flagship species of West African forests, the chimpanzee (Pan troglodytes verus). Controlling for human pressure, forest cover and cultural diversity, we found that high literacy rates and affordable fish protein correlated with high chimpanzee density. On the other hand, areas with better economic and infrastructure development coincided with reduced large mammal species richness compared to less developed areas. This indicates that wildlife depletion rates can only be understood by including economic and social constraints. These results are important for informing effective future conservation management strategies in Liberia and elsewhere in tropical Africa. (C) 2014 Elsevier Ltd. All rights reserved."
"Juste, J.; Fa, J. E.; Delval, J. P.; Castroviejo, J.;",1995,MARKET DYNAMICS OF BUSHMEAT SPECIES IN EQUATORIAL-GUINEA,Journal of Applied Ecology,town markets; bushmeat species; hunting; equatorial guinea,"1. Wild animals are an important protein source in many countries in West Africa. Studies of numbers and fluctuations of game species entering markets can provide vital information on wildlife use and exploitation in the consumer regions. 2. Two market sites in each of the most important towns, Malabo (Bioko Island) and Bata (Rio Muni) in the Republic of Equatorial Guinea, central Africa, were studied from October 1990 to October 1991. 3. 15 and 38 species of mammals, birds and reptiles were recorded in Bioko and Rio Muni, respectively. A total of 18012 carcasses was counted; 61.2% in Bioko and 38.8% in Rio Muni. 4. Abundance and availability of individual bushmeat species were described by: (a) the daily abundance of species (DA) as the average number of carcasses species(-1) day(-1) during all sampled days; (b) the carcass volume (CV) for each species as the average number of carcasses species(-1) day(-1) sold during available days, and (c) the species availability (MA) in markets as the percentage number of days per month during which a species was present for sale. 5. Two species, Cephalophus monticola and Cricetomys emini, in Bioko and C. monticola and Atherurus africanus in Rio Muni accounted for more than half of all carcasses brought into markets. 6. Seasonal differences in number of carcasses entering markets in Bioko were observed between dry and wet periods. In Rio Muni, increases were observed during the short dry and long rains periods. 7. Monthly changes in number of carcasses of species (>50 year(-1)) were compared between markets using Spearman rank correlation tests. Two main clusters appeared in relation to abundance of species in markets. 8. Bushmeat demand in the large towns in Equatorial Guinea may possibly exceed supply at present. Studies of bushmeat dynamics in markets can be used to monitor use of wildlife resources in the country."
"Kahler, J. S.; Roloff, G. J.; Gore, M. L.;",2013,Poaching Risks in Community-Based Natural Resource Management,Conservation Biology,conservancies; conservation criminology; enforcement; GIS; human-wildlife conflict; local knowledge; participatory mapping; risk; perception; wildlife use; conservation; fisheries; namibia; crime; livestock; conflict; bushmeat; program; africa,"Poaching can disrupt wildlife-management efforts in community-based natural resource management systems. Monitoring, estimating, and acquiring data on poaching is difficult. We used local-stakeholder knowledge and poaching records to rank and map the risk of poaching incidents in 2 areas where natural resources are managed by community members in Caprivi, Namibia. We mapped local stakeholder perceptions of the risk of poaching, risk of wildlife damage to livelihoods, and wildlife distribution and compared these maps with spatially explicit records of poaching events. Recorded poaching events and stakeholder perceptions of where poaching occurred were not spatially correlated. However, the locations of documented poaching events were spatially correlated with areas that stakeholders perceived wildlife as a threat to their livelihoods. This result suggests poaching occurred in response to wildlife damage occurred. Local stakeholders thought that wildlife populations were at high risk of being poached and that poaching occurred where there was abundant wildlife. These findings suggest stakeholders were concerned about wildlife resources in their community and indicate a need for integrated and continued monitoring of poaching activities and further interventions at the wildlife-agricultural interface. Involving stakeholders in the assessment of poaching risks promotes their participation in local conservation efforts, a central tenet of community-based management. We considered stakeholders poaching informants, rather than suspects, and our technique was spatially explicit. Different strategies to reduce poaching are likely needed in different areas. For example, interventions that reduce human-wildlife conflict may be required in residential areas, and increased and targeted patrolling may be required in more remote areas. Stakeholder-generated maps of human-wildlife interactions may be a valuable enforcement and intervention support tool."
"Kahui, Viktoria; Richards, Amanda C.;",2014,Lessons from resource management by indigenous Maori in New Zealand: Governing the ecosystems as a commons,Ecological Economics,common property; Ecosystem based management; Indigenous Maori,"The paradigm shift to holistic management rests on the insight that exploitation affects all aspects of the ecosystem. While scholars and policy-makers all want ecosystem based management (EBM), few, if any, have achieved it in practice. Adaptive governance promises effective EBM, but guidance remains elusive. Looking back to an ecosystem people such as the indigenous Maori in the south of New Zealand and analyzing their resource management system using Ostrom's (1990) eight-principle framework for common property rights regimes allows us to answer three central questions. How did Ngai Tahu, the dominant tribe on the South Island, manage the complex linkages, uncertainty and interactions with nature while exploiting their environment? Was resource exploitation sustainable? And what can be drawn from their management system for modern governance structures? The application of Ostrom's framework shows that kaitiakitanga (stewardship) as an integrated management system generally aligns with the principles necessary for successful EBM and provided Ngai Tahu with the necessary tools to control and adapt measures across space and time, mirroring the modern tenets of adaptive management. Studying a people that practiced EBM successfully provides the insight that EBM may be achieved by governing ecosystems through an integrated common property management system."
"Kamins, A. O.; Restif, O.; Ntiamoa-Baidu, Y.; Suu-Ire, R.; Hayman, D. T. S.; Cunningham, A. A.; Wood, J. L. N.; Rowcliffe, J. M.;",2011,"Uncovering the fruit bat bushmeat commodity chain and the true extent of fruit bat hunting in Ghana, West Africa",Biological Conservation,Bushmeat hunting; Commodity chain; Ghana; Eidolon helvum; Fruit bat; hunting; flying foxes; pteropus-vampyrus; indonesian borneo; eidolon-helvum; biodiversity; wildlife; threats; market; policy; virus,"Harvesting, consumption and trade of bushmeat are important causes of both biodiversity loss and potential zoonotic disease emergence. In order to identify possible ways to mitigate these threats, it is essential to improve our understanding of the mechanisms by which bushmeat gets from the site of capture to the consumer's table. In this paper we highlight the previously unrecognized scale of hunting of the African straw-colored fruit bat, Eidolon helvum, a species which is important in both ecological and public health contexts, and describe the commodity chain in southern Ghana for its trade. Based on interviews with 551 Ghanaians, including bat hunters, vendors and consumers, we estimate that a minimum of 128,000 E. helvum bats are sold each year through a commodity chain stretching up to 400 km and involving multiple vendors. Unlike the general bushmeat trade in Ghana, where animals are sold in both specialized bushmeat markets and in restaurants. E. helvum is sold primarily in marketplaces; many bats are also kept by hunters for personal consumption. The offtake estimated in this paper raises serious conservation concerns, while the commodity chain identified in this study may offer possible points for management intervention. The separation of the E. helvum commodity chain from that of other bushmeat highlights the need for species-specific research in this area, particularly for bats, whose status as bushmeat is largely unknown. (C) 2011 Elsevier Ltd. All rights reserved."
"Kamins, A. O.; Rowcliffe, J. M.; Ntiamoa-Baidu, Y.; Cunningham, A. A.; Wood, J. L. N.; Restifl, O.;",2015,Characteristics and Risk Perceptions of Ghanaians Potentially Exposed to Bat-Borne Zoonoses through Bushmeat,Ecohealth,zoonoses; public health development; outbreak management; fruit bats; Ghana; equatorial-guinea; west-africa; rio-muni; consumption; management,"Emerging zoonotic pathogens from wildlife pose increasing public health threats globally. Bats, in particular, host an array of zoonotic pathogens, yet there is little research on how bats and humans interact, how people perceive bats and their accompanying disease risk, or who is most at risk. Eidolon helvum, the largest and most abundant African fruit bat species, is widely hunted and eaten in Ghana and also carries potentially zoonotic pathogens. This combination raises concerns, as hunting and butchering bushmeat are common sources of zoonotic transmission. Through a combination of interviews with 577 Ghanaians across southern Ghana, we identified the characteristics of people involved in the bat-bushmeat trade and we explored their perceptions of risk. Bat hunting, selling and consumption are widely distributed across regional and ethnic lines, with hotspots in certain localities, while butchering is predominantly done by women and active hunters. Interviewees held little belief of disease risk from bats, saw no ecological value in fruit bats and associated the consumption of bats with specific tribes. These data can be used to inform disease and conservation management plans, drawing on social contexts and ensuring that local voices are heard within the larger global effort to study and mitigate outbreaks."
"Kamins, A.; Baker, K.; Restif, O.; Cunningham, A.; Wood, J. L. N.;",2014,Emerging risks from bat bushmeat in West Africa,zoonoses; Ghana; fruit bats; spill-over; bushmeat; commodity chain; emerging infectious diseases; to-person transmission; infectious-diseases; nipah virus; fruit bat; hendra virus; flying foxes; ebola-virus; emergence; wildlife; humans,"Despite major advances in medicine, infectious diseases still kill 15 million people around the world annually - one quarter of global deaths. In the past four decades, 65% of emerging pathogens have been those that were transferred from animals to humans (zoonoses) and three quarters of these zoonoses originated from wildlife. A leading source of human-wildlife contact is through hunting wild animals for food. Western and central Africans alone may harvest five million tons of bushmeat annually. This industry raises concerns across disciplines: epidemiologists fear zoonotic diseases, conservationists fear the depletion of endangered species, and development practitioners worry for the welfare of people who depend on wild meat for protein and income. Of the many animals hunted for bushmeat, bats pose a number of questions. Hosting almost 60 viruses that could or do infect humans, bats also are suffering population declines from overhunting. Yet their roles as reservoirs of human disease or as sources of valuable products are largely unexplained. The presence of henipavirus antibodies and Bartonella bacteria in Eidolon helvum in Ghana, as well as the potential for commercial hunting of these fruit bats, inspired a study to: (1) delineate how bats and their pathogens may come into contact with humans; (2) understand how, where, and how many bats are hunted, prepared, and sold; (3) identify and characterise potentially at-risk populations for bat-borne zoonoses; and (4) determine whether transmission of selected bat-borne pathogens is already occurring. Through interviews with over 700 Ghanaians, the demographics and perceptions of people involved in bat bushmeat trade were identified. Hunting, selling, and consumption are widely distributed across region and tribal lines, with hot spots in certain locales; butchering is concentrated in females and active hunters. Interviewees held little belief of disease risk from bats, saw little ecological value of fruit bats and thought that only specific tribes would consume bats. Serological and culture evidence strongly suggests there is no current spill-over of Bartonella but that there may be human exposure to a henipa-like virus.",<Go to ISI>://WOS:000343319000006
"Kamins, A.; Restif, O.; Rowcliffe, M.; Cunningham, A.; Wood, J.;",2011,"Use of Bats as Bushmeat: Implications for Human Health in Ghana, West Africa",Ecohealth,,
"Kampichler, C.; Calme, S.; Weissenberger, H.; Arriaga-Weiss, S. L.;",2010,"Indication of a species in an extinction vortex: The ocellated turkey on the Yucatan peninsula, Mexico",Acta Oecologica-International Journal of Ecology,Human migration; Land use change; Machine learning; Subsistence hunting; Tropical forest; random forests; classification; fragmentation; conservation; landscape; naivete; ecology,"The ocellated turkey Meleagris ocellata (OT) is a large, unmistakable endemic bird of the Yucatan peninsula. The species has suffered a considerable loss of distributional area as well as local abundance between 1980 and 2000 and is classified as endangered according to Mexican norms. We applied Classification Trees and Random Forests in order to determine the factors that most closely explain the observed patterns of distribution and abundance loss, and to develop hypotheses that may guide measures for the protection of the OT. Among the most important predictors of change were variables corresponding to aspects of forest cover and variables on human population and small settlements. OT abundance in 1980, however, was by far the most important predictor for OT abundance change. This is an indication that the OT dynamics are governed by internal rather than by external factors. Medium and low abundances in 1980 inevitably led to a further decrease during the following years, which gives rise to the conclusion that the OT might find itself in an extinction vortex. We suggest the following hypothetical scenario for OT decline: migrant people from other Mexican states colonise forested regions in Yucatan; they establish small settlements; bushmeat hunting is important for their survival; the nave OT is easy prey; hunting-together with beginning deforestation-reaches a certain level, and local OT abundance falls below a critical threshold; OT continues declining regardless of current social and environmental changes except where there is total protection of both the species and its habitat. (C) 2010 Elsevier Masson SAS. All rights reserved."
"Karesh, W. B.; Noble, E.;",2009,The Bushmeat Trade: Increased Opportunities for Transmission of Zoonotic Disease,Mount Sinai Journal of Medicine,bushmeat; emerging infectious disease; wildlife; zoonotic disease; emergence; conservation; africa,"Bushmeat is a term that refers to the use of wild animals, ranging from cane rats to gorillas, for food. The term typically refers to the practice in forests of Africa. The bushmeat trade is an example of an anthropogenic factor that provides opportunities for the transmission of diseases from wildlife to humans. The expansion of the bushmeat trade over the past 2 decades has provided a venue for the emergence of zoonotic diseases by providing an increased opportunity for the transmission of organisms known to cause disease and organisms with an unknown impact on humans. Because the bushmeat trade is embedded in a complex cultural, political, and economic context, efforts to prevent the emergence of zoonoses require a multidisciplinary approach. Mt Sinai J Med 76:429-434, 2009. (C) 2009 Mount Sinai School of Medicine"
"Kaschula, S. A.; Shackleton, C. M.;",2009,"Quantity and significance of wild meat off-take by a rural community in the Eastern Cape, South Africa",Environmental Conservation,bushmeat; wild meat; food security; grassland; hunting; rural; livelihoods; savannah; South Africa; serengeti-national-park; direct-use values; congo basin; bushmeat; forests; sustainability; households; security; tanzania; province,"When compared to tropical forest zones in west and central Africa, off-take of wild meat from savannah and grassland biomes by local rural communities has not been well assessed. This case study of wild meat collection activities within a rural community in the Mount Frere region of the Eastern Cape (South Africa) uses last-catch records derived from 50 wild meat gatherers to calculate average off-take of taxa, species and fresh mass of wild meat per collection event. When per-event off take is overlaid onto household hunting frequency data, annual off-take would be 268.6 kg km(-2) yr(-1) or 3 kg person(-1) yr(-1) presuming constant off-take take over an annual period. Monetary value of off-take would be South African R 307 (US$ 39) per household annually. For some species, off-take weight per km(2) shows similar values to data from tropical forest zones, but high human population densities tend to dilute off-takes to less nutritionally significant amounts at the per person scale. However, unlike many tropical zones, none of the species harvested can be considered high-priority conservation species. Even densely populated and heavily harvested communal lands appear to offer high wild meat off-takes from low conservation priority species."
"Kaul, R.; Hilaluddin,; Jandrotia, J. S.; McGowan, P. J. K.;",2004,Hunting of large mammals and pheasants in the Indian western Himalaya,Oryx,Bushmeat; Galliformes; hunting; India; mammals; pheasants; western; Himalaya; wildmeat; conservation,"We conducted a survey in the western Himalaya of India to assess animal extraction patterns. Data on animal species and their extraction patterns, their importance to the respondents, and reasons and methods of hunting were collected using structured questionnaires. Twenty-three species of large mammals and Galliformes were present in the area, 18 of which were hunted around at least one village. Of special concern were several threatened species that were hunted around most villages were they occurred, although the impact of removal on wild populations is not clear. The main reason for hunting was to supplement animal protein, although some animals were also killed for sale of meat and their parts. The establishment of community-managed forests has not had an impact on extraction rates. Assessment of the impact of hunting on the threatened species in particular is urgently required."
"Keane, A.; Gurd, H.; Kaelo, D.; Said, M. Y.; de Leeuw, J.; Rowcliffe, J. M.; Homewood, K.;",2016,Gender Differentiated Preferences for a Community-Based Conservation Initiative,Plos One,wildlife conservation; maasai mara; kenya; management; tanzania; choice; land; exclusion; ecosystem; bushmeat,"Community-based conservation (CBC) aims to benefit local people as well as to achieve conservation goals, but has been criticised for taking a simplistic view of ""community"" and failing to recognise differences in the preferences and motivations of community members. We explore this heterogeneity in the context of Kenya's conservancies, focussing on the livelihood preferences of men and women living adjacent to the Maasai Mara National Reserve. Using a discrete choice experiment we quantify the preferences of local community members for key components of their livelihoods and conservancy design, differentiating between men and women and existing conservancy members and non-members. While Maasai preference for pastoralism remains strong, non-livestock-based livelihood activities are also highly valued and there was substantial differentiation in preferences between individuals. Involvement with conservancies was generally perceived to be positive, but only if households were able to retain some land for other purposes. Women placed greater value on conservancy membership, but substantially less value on wage income, while existing conservancy members valued both conservancy membership and livestock more highly than did non-members. Our findings suggest that conservancies can make a positive contribution to livelihoods, but care must be taken to ensure that they do not unintentionally disadvantage any groups. We argue that conservation should pay greater attention to individual-level differences in preferences when designing interventions in order to achieve fairer and more sustainable outcomes for members of local communities."
"Keane, A.; Ramarolahy, A. A.; Jones, J. P. G.; Milner-Gulland, E. J.;",2011,Evidence for the effects of environmental engagement and education on knowledge of wildlife laws in Madagascar,Conservation Letters,Awareness; community-based natural resource management; compliance; education; law; rules; tourism; western madagascar; protected areas; local people; conservation; awareness; community; attitudes; bushmeat; regulations; enforcement,"Rules are fundamental to the implementation of conservation policies, but cannot change behavior if they are not known or understood. Despite this, few studies have investigated knowledge of conservation rules or factors influencing it. Here, we quantify the effects of involvement with tourism and community-based natural resource management, education and demographic factors on local people's awareness of Madagascar's species protection laws. Knowledge of the laws was generally low. However, those who worked as tourist guides, hosted tourists, and were involved in local forest management committees were almost twice as likely to classify correctly a species as protected compared with individuals not exposed to conservation messages in this way. This year marks 50 years since Madagascar introduced its first species protection law. It is time to recognize that rules are necessary, but not sufficient, for species protection and to devote more attention to the communication, and enforcement, of conservation rules."
"Kelly, J.; Carter, T.; Cole, M. D.;",2003,Forensic identification of non-human mammals involved in the bushmeat trade using restriction digests of PCR amplified mitochondrial DNA,Forensic Science International,,
"Khedkar, G. D.; Abhayankar, S. B.; Nalage, D.; Ahmed, S. N.; Khedkar, C. D.;",2016,DNA barcode based wildlife forensics for resolving the origin of claw samples using a novel primer cocktail,Mitochondrial DNA Part A,Claw; cytochrome oxidase I gene; DNA barcoding; forensics; India; panthera; primer cocktail; species identification; sequence-analysis; validation; genetics,"Excessive wildlife hunting for commercial purposes can have negative impacts on biodiversity and may result in species extinction. To ensure compliance with legal statutes, forensic identification approaches relying on molecular markers may be used to identify the species of origin of animal material from hairs, claw, blood, bone, or meat. Using this approach, DNA sequences from the COI ""barcoding'' gene have been used to identify material from a number of domesticated animal species. However, many wild species of carnivores still present great challenges in generating COI barcodes using standard ""universal'' primer pairs. In the work presented here, the mitochondrial COI gene was successfully amplified using a novel primer cocktail, and the products were sequenced to determine the species of twenty one unknown samples of claw material collected as part of forensic wildlife case investigations. Sixteen of the unknown samples were recognized to have originated from either Panthera leo or P. pardus individuals. The remaining five samples could be identified only to the family level due to the absence of reference animal sequences. This is the first report on the use of COI sequences for the identification of P. pardus and P. leo from claw samples as part of forensic investigations in India. The study also highlights the need for adequate reference material to aid in the resolution of suspected cases of illegal wildlife harvesting."
"Kiffner, C.; Kioko, J.; Kissui, B.; Painter, C.; Serota, M.; White, C.; Yager, P.;",2014,Interspecific variation in large mammal responses to human observers along a conservation gradient with variable hunting pressure,Animal Conservation,anti-predator behaviour; bushmeat hunting; hunting pressure; conservation effectiveness; landscape of fear; katavi-rukwa ecosystem; protected areas; human disturbance; predation; risk; national-park; tanzania; behavior; exploitation; populations; demography,"When subject to anthropogenic hunting risks, wildlife populations may adjust their anti-predator behaviour; however, such plastic response has rarely been assessed. We assessed the response of eight species (African elephant, Maasai giraffe, plains zebra, common wildebeest, Grant's gazelle, impala, Thomson's gazelle and Kirk's dik dik) towards human observers in a landscape with variable anthropogenic hunting pressure. Using logistic regressions, we tested the effect of habitat type, group size, distance to observer and conservation status of the area on the likelihood of animal behavioural adjustments (walking away, fleeing or giving alarm calls). Habitat type did not affect the likelihood of a response towards humans. Dik diks were less likely to respond towards human when they were in larger groups. In contrast, zebras and Thomson's gazelles were marginally significantly more likely to show a response when in larger groups. Responses of all species were significantly or marginally significantly (elephant) lower with increasing distance from observers (an increase by one meter distance changed the response likelihood by 0.01-0.30). Four species (zebra, wildebeest, impala, dik dik) showed a gradual adjustment of responsiveness according to conservation status and were most responsive in non-protected and least responsive in fully protected areas (0.02-0.29 times less responsive in fully vs. multiple-use areas). However, elephants, giraffes and both gazelle species did not significantly adjust their behaviour according to conservation status. This suggests that the behaviour of some species can be used as useful indicator of conservation status of an area whereas the behaviour of other species does not allow discriminating between management types. More generally, our study highlights the importance of assessing and controlling illegal hunting in multiple-use areas and suggests a stronger consideration of human-induced risk effects in the conservation of ungulates."
